id,target
1001,1
1002,1
1003,0
1005,0
1006,0
1007,0
1008,0
1009,0
1010,0
1011,0
1012,0
1013,0
1014,1
1015,0
1016,0
1017,1
1018,1
1019,1
1021,0
1022,0
1023,0
1024,0
1025,0
1026,0
1029,1
1030,0
1031,0
1032,0
1033,0
1034,0
1035,0
1036,1
1037,1
1038,0
1039,1
1040,0
1041,1
1042,1
1043,0
1044,1
1045,0
1046,0
1047,0
1049,0
1050,0
1051,0
1052,0
1053,0
1054,0
1055,0
1056,0
1058,1
1059,1
1060,0
1061,0
1063,0
1064,0
1065,1
1067,1
1070,1
1071,1
1072,0
1073,1
1078,0
1079,0
1080,0
1082,0
1083,0
1084,0
1085,1
1086,0
1087,0
1088,0
1089,0
1090,0
1091,0
1092,0
1093,0
1094,0
1096,0
1097,0
1098,0
1099,1
1100,0
1101,0
1102,0
1103,0
1104,1
1105,0
1107,0
1109,0
1110,0
1111,0
1112,0
1113,0
1115,1
1117,0
1118,1
1119,0
1122,0
1123,0
1124,0
1125,0
1126,0
1127,0
1128,0
1130,1
1131,0
1132,0
1133,1
1135,0
1136,0
1139,0
1140,0
1141,0
1142,0
1143,0
1144,0
1145,0
1146,0
1147,1
1148,0
1149,0
1150,0
1151,0
1152,0
1153,0
1155,0
1156,1
1157,1
1158,1
1159,0
1160,0
1161,1
1162,0
1163,0
1164,1
1165,0
1166,0
1167,0
1169,0
1170,0
1171,0
1172,1
1174,0
1175,0
1176,0
1177,0
1178,0
1179,0
1180,1
1181,0
1182,0
1183,0
1184,0
1185,1
1186,0
1187,1
1188,0
1189,0
1190,0
1192,0
1194,0
1195,0
1196,0
1197,1
1198,1
1199,1
1200,0
1201,0
1202,1
1203,0
1204,0
1205,0
1208,0
1209,0
1210,0
1211,1
1212,0
1214,0
1216,0
1218,0
1219,1
1220,0
1221,0
1222,0
1224,0
1225,0
1226,0
1227,0
1228,0
1229,1
1230,0
1231,0
1232,0
1233,0
1234,0
1235,0
1236,0
1239,1
1244,1
1245,1
1246,0
1247,0
1248,0
1249,1
1250,0
1251,0
1252,0
1253,0
1254,0
1255,0
1257,0
1258,0
1259,0
1261,0
1263,0
1264,0
1265,0
1266,0
1268,0
1270,0
1271,0
1273,0
1274,1
1275,0
1276,0
1277,0
1278,0
1279,0
1280,0
1281,0
1282,0
1283,0
1284,0
1285,0
1286,1
1287,0
1288,0
1289,0
1290,0
1292,0
1294,0
1295,0
1296,0
1297,0
1298,0
1300,0
1302,0
1303,1
1304,0
1305,1
1306,0
1307,0
1308,0
1309,0
1310,0
1313,0
1314,0
1315,0
1316,0
1318,0
1320,0
1321,0
1322,0
1325,1
1326,0
1327,0
1328,1
1330,0
1331,0
1334,0
1335,0
1337,0
1338,0
1340,0
1342,0
1343,0
1344,0
1345,0
1346,0
1348,1
1349,0
1350,0
1351,1
1352,0
1353,0
1354,0
1355,0
1356,0
1357,0
1359,1
1360,0
1362,0
1364,0
1366,0
1367,0
1368,0
1369,0
1370,1
1371,0
1372,0
1373,1
1374,0
1376,0
1377,0
1379,0
1382,1
1383,0
1384,0
1385,0
1387,0
1389,0
1390,0
1391,0
1393,0
1394,0
1395,0
1396,0
1397,0
1398,1
1399,0
1400,1
1401,0
1402,0
1404,0
1406,1
1407,0
1408,0
1409,0
1411,0
1412,0
1413,0
1414,0
1415,0
1417,0
1418,1
1420,0
1421,0
1425,1
1426,1
1427,0
1428,0
1430,0
1432,0
1433,0
1434,0
1435,0
1436,0
1437,0
1438,1
1439,0
1440,0
1442,0
1443,0
1444,0
1446,0
1447,1
1448,0
1450,0
1451,1
1452,1
1453,0
1454,0
1455,1
1456,0
1457,0
1459,0
1460,0
1461,0
1462,0
1463,0
1464,0
1465,0
1467,0
1468,1
1469,0
1470,1
1471,0
1472,1
1473,0
1474,0
1476,0
1477,0
1478,0
1479,0
1480,1
1481,0
1482,0
1483,0
1484,0
1485,0
1486,0
1487,1
1489,0
1491,0
1492,0
1493,0
1495,1
1498,0
1499,0
1500,0
1501,0
1502,0
1503,0
1504,0
1505,0
1506,1
2002,0
2003,1
2004,1
2005,0
2006,0
2007,1
2009,1
2011,1
2012,0
2013,1
2014,0
2015,0
2016,0
2017,0
2018,0
2019,0
2022,0
2023,1
2025,1
2027,0
2028,0
2029,0
2030,1
2031,0
2033,0
2034,0
2036,0
2037,0
2038,0
2040,0
2043,1
2045,1
2046,1
1020,0
1048,0
1068,0
1075,1
1077,0
1095,0
1120,0
1134,0
1137,0
1138,0
1154,0
1206,0
1213,0
1215,1
1238,0
1243,0
1260,0
1267,0
1269,0
1299,0
1311,0
1317,0
1319,0
1329,1
1332,0
1333,0
1336,0
1339,0
1341,1
1358,1
1365,0
1375,0
1378,0
1381,0
1386,0
1388,0
1392,0
1403,0
1405,0
1410,1
1419,1
1431,0
1445,0
1449,0
1466,1
1475,0
1488,1
1490,1
1496,0
1497,0
2001,1
2021,0
2035,0
2041,0
2042,0
2044,1
1004,0
1027,0
1028,0
1057,0
1062,1
1066,0
1069,0
1074,0
1076,0
1081,0
1106,0
1108,1
1114,0
1116,0
1121,1
1129,0
1168,0
1173,0
1191,0
1193,0
1207,0
1217,0
1223,0
1237,0
1240,0
1241,1
1242,0
1256,0
1262,0
1272,0
1291,1
1293,0
1301,0
1312,0
1323,0
1324,0
1347,1
1361,1
1363,0
1380,0
1416,0
1422,0
1423,0
1424,0
1429,0
1441,0
1458,0
1494,1
2008,1
2010,0
2020,1
2024,1
2026,0
2032,0
2039,0
